#Species/genus	Genomes	Organism name	Chromosome RefSeq	Chromosome GenBank	Plasmid RefSeq	Plasmid GenBank	CODE	Comment	PubmedIDs	External link
Abiotrophia defectiva	1	Abiotrophia defectiva ATCC 49176					Default			
Acaricomes phytoseiuli	1	Acaricomes phytoseiuli DSM 14247	NZ_AQXM00000000	AQXM00000000			Default			
Acaryochloris marina	1	Acaryochloris marina MBIC11017	NC_009925	CP000828	NC_009926 ... (9)	CP000838 ... (9)	COM		18252824	
Acaryochloris	1	Acaryochloris sp. CCMEE 5410	NZ_AFEJ00000000	AFEJ00000000			Default			
Acetivibrio cellulolyticus	1	Acetivibrio cellulolyticus CD2	NZ_AEDB00000000	AEDB00000000			Default			
	0	Acetobacter aceti					Default			
Acetobacter pasteurianus	13	Acetobacter pasteurianus IFO 3283-01	NC_013209	AP011121	NC_013210 ... (6)	AP011122 ... (6)	COM			
Acetobacter pomorum	1	Acetobacter pomorum DM001	NZ_AEUP00000000	AEUP00000000			Default			
Acetobacter tropicalis	1	Acetobacter tropicalis NBRC 101654	NZ_BABS00000000	BABS00000000			Default			
Acetobacteraceae bacterium AT-5844	1	Acetobacteraceae bacterium AT-5844	NZ_AGEZ00000000	AGEZ00000000			Default			
Acetobacterium woodii	1	Acetobacterium woodii DSM 1030	NC_016894	CP002987			Default		22479398	
Acetohalobium arabaticum	1	Acetohalobium arabaticum DSM 5501	NC_014378	CP002105			COM		21304692	
Acetonema longum	1	Acetonema longum DSM 6540	NZ_AFGF00000000	AFGF00000000			Default			
	0	Acholeplasma brassicae 0502					Default			
Acholeplasma laidlawii	1	Acholeplasma laidlawii PG-8A	NC_010163	CP000896			COM		21784942	
	0	Acholeplasma palmae J233					Default			
Achromobacter arsenitoxydans	1	Achromobacter arsenitoxydans SY8	NZ_AGUF00000000	AGUF00000000			Default			
	0	Achromobacter denitrificans					Default			
Achromobacter piechaudii	2	Achromobacter piechaudii ATCC 43553	NZ_ADMS00000000	ADMS00000000			Default			
Achromobacter xylosoxidans	6	Achromobacter xylosoxidans A8	NC_014640	CP002287	NC_014641 ... (2)	CP002288 ... (2)	COM		21097610	
Acidaminococcus fermentans	1	Acidaminococcus fermentans DSM 20731	NC_013740	CP001859			COM		21304687	
Acidaminococcus intestini	2	Acidaminococcus intestini RyC-MR95	NC_016077	CP003058			COM		22123762	
Acidaminococcus	3	Acidaminococcus sp. D21	NZ_ACGB00000000	ACGB00000000			Default			
	0	Acidianus ambivalens					Default			
Acidianus hospitalis	1	Acidianus hospitalis W1	NC_015518	CP002535			COM		21607549	
Acidilobus saccharovorans	1	Acidilobus saccharovorans 345-15	NC_014374	CP001742			COM		20581186	
Acidimicrobium ferrooxidans	1	Acidimicrobium ferrooxidans DSM 10331	NC_013124	CP001631			COM		21304635	
Acidiphilium cryptum	1	Acidiphilium cryptum JF-5	NC_009484	CP000697	NC_009467 ... (8)	CP000689 ... (8)	COM/PRT			
Acidiphilium multivorum	1	Acidiphilium multivorum AIU301	NC_015186	AP012035	NC_015178 ... (8)	AP012036 ... (8)	COM			
Acidiphilium	1	Acidiphilium sp. PM	NZ_AFPR00000000	AFPR00000000			Default			
Acidithiobacillus caldus	2	Acidithiobacillus caldus SM-1	NC_015850	CP002573	NC_015851 ... (4)	CP002574 ... (4)	COM		21703548	
Acidithiobacillus ferrivorans	1	Acidithiobacillus ferrivorans SS3	NC_015942	CP002985			COM		21705598	
Acidithiobacillus ferrooxidans	2	Acidithiobacillus ferrooxidans ATCC 53993	NC_011206	CP001132			COM			
Acidithiobacillus	1	Acidithiobacillus sp. GGI-221					Default			
Acidithiobacillus thiooxidans	2	Acidithiobacillus thiooxidans ATCC 19377	NZ_AFOH00000000	AFOH00000000			Default			
Acidobacterium capsulatum	1	Acidobacterium capsulatum ATCC 51196	NC_012483	CP001472			COM		19201974	
Acidocella	1	Acidocella sp. MX-AZ02	NZ_AMPS00000000	AMPS00000000			Default			
Acidothermus cellulolyticus	1	Acidothermus cellulolyticus 11B	NC_008578	CP000481			COM		19270083	
Acidovorax avenae	2	Acidovorax avenae subsp. avenae ATCC 19860	NC_015138	CP002521			COM			
Acidovorax citrulli	2	Acidovorax citrulli AAC00-1	NC_008752	CP000512			COM			
Acidovorax delafieldii	1	Acidovorax delafieldii 2AN	NZ_ACQT00000000	ACQT00000000			Default			
Acidovorax ebreus	1	Acidovorax ebreus TPSY	NC_011992	CP001392			COM		20023012	
Acidovorax radicis	2	Acidovorax radicis N35	NZ_AFBG00000000	AFBG00000000			Default			
Acidovorax	8	Acidovorax sp. JS42	NC_008782	CP000539	NC_008765 ... (2)	CP000540 ... (2)	COM			
Aciduliprofundum boonei	2	Aciduliprofundum boonei T469	NC_013926	CP001941			COM			
Acinetobacter baumannii	744	Acinetobacter baumannii ATCC 17978	NC_009085	CP000521	NC_009083 ... (2)	CP000522 ... (2)	COM		17344419	
Acinetobacter baylyi	2	Acinetobacter baylyi TG19579	NZ_AMIC00000000	AMIC00000000			Default			
Acinetobacter beijerinckii	2	Acinetobacter beijerinckii ANC 3835	NZ_APQK00000000	APQK00000000			Default			
