Season,Episode,Title,Rating,Votes
1,2,The Stakeout,7.8,649
1,3,The Robbery,7.7,565
1,4,Male Unbonding,7.6,561
1,5,The Stock Tip,7.8,541
2,1,The Ex-Girlfriend,7.7,529
2,1,The Statue,8.1,509
2,11,The Heart Attack,8,512
2,12,The Revenge,8.4,497
2,13,The Deal,8.3,515
2,2,The Pony Remark,8,573
2,3,The Busboy,7.9,500
2,4,The Baby Shower,7.8,504
2,5,The Jacket,8.5,560
2,6,The Chinese Restaurant,8.7,656
2,7,The Phone Message,8.5,544
2,8,The Apartment,8,497
3,1,The Note,8.3,512
3,1,The Stranded,7.5,543
3,11,The Alternate Side,8.4,471
3,12,The Red Dot,8.5,480
3,13,The Subway,8.7,513
3,14,The Pez Dispenser,8.6,485
3,15,The Suicide,7.8,418
3,16,The Fix Up,8.3,452
3,17,The Boyfriend: Part 1,8.6,539
3,18,The Boyfriend: Part 2,8.7,483
3,19,The Limo,8.6,591
3,2,The Truth,7.8,466
3,2,The Good Samaritan,8.1,442
3,21,The Letter,8,429
3,22,The Parking Space,8.5,472
3,23,The Keys,8.6,443
3,3,The Pen,8.3,527
3,4,The Dog,7.3,487
3,5,The Library,8.7,610
3,6,The Parking Garage,8.5,613
3,7,The Cafe,8.5,476
3,8,The Tape,8.6,485
3,9,The Nose Job,8.1,487
4,1,The Trip: Part 1,8.4,467
4,1,The Virgin,8.3,455
4,11,The Contest,8.7,1194
4,12,The Airport,8.5,536
4,13,The Pick,8.6,464
4,14,The Movie,8.3,442
4,15,The Visa,8.2,401
4,16,The Shoes,8.4,410
4,17,The Outing,8.5,681
4,18,The Old Man,8.4,447
4,19,The Implant,8.7,467
4,2,The Trip: Part 2,8.6,451
4,2,The Junior Mint,8.5,504
4,21,The Smelly Car,8.7,464
4,22,The Handicap Spot,8.4,419
4,23,The Pilot,8.5,517
4,3,The Pitch,8.7,450
4,4,The Ticket,8.6,413
4,5,The Wallet,8.1,408
4,6,The Watch,8.2,407
4,7,The Bubble Boy,8.7,547
4,8,The Cheever Letters,8.4,447
4,9,The Opera,8.3,439
5,1,The Mango,8.6,454
5,1,The Cigar Store Indian,8.4,437
5,11,The Conversion,8.1,388
5,12,The Stall,8.6,435
5,13,The Dinner Party,8.3,395
5,14,The Marine Biologist,8.4,654
5,15,The Pie,8.5,405
5,16,The Stand-In,7.9,374
5,17,The Wife,8,389
5,18,The Raincoats,8.5,404
5,19,The Fire,8.7,462
5,2,The Puffy Shirt,8.4,530
5,2,The Hamptons,8.4,530
5,21,The Opposite,8.5,732
5,3,The Glasses,8.3,413
5,4,The Sniffing Accountant,8.2,391
5,5,The Bris,8.1,439
5,6,The Lip Reader,8.5,424
5,7,The Non-Fat Yogurt,8.5,443
5,8,The Barber,8.3,412
5,9,The Masseuse,8,392
6,1,The Chaperone,8.1,377
6,1,The Race,8.4,509
6,11,The Switch,8.4,500
