bag_id,bog_id,brown,red,orange,yellow,green,blue,violet,pink
a,a1,6,5,8,4,7,2,3,6
a,a2,4,5,5,3,5,9,2,4
a,a3,4,10,4,5,8,2,1,6
a,a4,1,12,5,2,5,4,3,5
a,a5,4,6,7,2,5,6,7,4
a,a6,4,8,4,5,3,6,4,4
a,a7,7,8,6,2,6,4,4,3
a,a8,3,9,3,3,7,5,2,6
a,a9,2,7,2,3,8,5,6,5
a,a10,5,7,6,3,7,5,3,2
a,a11,4,7,4,1,5,8,5,5
a,a12,5,6,1,6,6,9,5,1
a,a13,2,11,7,3,2,3,7,3
a,a14,8,2,3,1,6,7,7,6
a,a15,4,7,5,3,5,4,4,6
a,a16,2,2,4,3,8,8,5,7
a,a17,1,7,3,3,8,10,6,3
a,a18,3,8,12,5,2,3,1,4
a,a19,6,10,3,1,6,3,6,5
a,a20,2,6,8,3,6,4,6,3
a,a21,1,10,5,2,4,7,4,6
b,b1,4,6,6,4,8,7,2,3
b,b2,6,4,3,4,3,13,3,2
b,b3,5,8,6,1,3,11,5,2
b,b4,3,8,7,3,4,8,6,1
b,b5,1,10,2,3,4,11,3,3
b,b6,4,12,3,5,2,5,0,6
b,b7,3,8,4,6,2,4,8,3
b,b8,4,7,6,4,7,2,5,5
b,b9,2,4,11,3,6,8,1,5
b,b10,4,5,10,1,4,6,2,5
b,b11,3,9,3,8,3,4,5,2
b,b12,2,10,6,2,8,2,3,4
b,b13,1,6,6,6,4,5,4,5
b,b14,1,10,6,2,7,3,4,6
b,b15,7,4,3,5,7,6,5,2
b,b16,3,11,6,2,3,7,4,4
b,b17,5,6,5,2,4,4,10,3
b,b18,7,8,7,2,6,5,4,3
b,b19,2,11,6,3,5,5,4,3
b,b20,4,6,4,3,4,8,3,5
b,b21,3,2,6,4,9,5,5,3
