#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Chromosomes	Organelles	Plasmids	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Emiliania huxleyi CCMP1516	280463	PRJNA77753	77753	Protists	Other Protists	167.676	64.5	GCA_000372725.1	-	-	-	AHAL01	7795	38549	38554	2013/04/19	2014/08/01	Scaffold	JGI	SAMN02744062
Arabidopsis thaliana	3702	PRJNA10719	10719	Plants	Land Plants	119.668	36.0528	GCA_000001735.1	5	2	-	-	7	33583	35378	2001/08/13	2014/10/01	Chromosome	The Arabidopsis Information Resource (TAIR)	SAMN03081427
Arabidopsis thaliana	3702	PRJNA30811	30811	Plants	Land Plants	96.5002	36.7	GCA_000222325.1	-	-	-	AFNA01	2143	-	-	2011/07/18	2014/08/11	Scaffold	1001genomes	SAMN02981334
Arabidopsis thaliana	3702	PRJNA30811	30811	Plants	Land Plants	98.0662	36.6	GCA_000222345.1	-	-	-	AFNB01	1740	-	-	2011/07/18	2014/08/11	Scaffold	1001genomes	SAMN02981335
Arabidopsis thaliana	3702	PRJNA30811	30811	Plants	Land Plants	96.2565	36.6	GCA_000222365.1	-	-	-	AFMZ01	1261	-	-	2011/07/18	2014/08/11	Scaffold	1001genomes	SAMN02981333
Arabidopsis thaliana	3702	PRJNA30811	30811	Plants	Land Plants	96.694	36.7	GCA_000222385.1	-	-	-	AFNC01	2408	-	-	2011/07/18	2014/08/11	Scaffold	1001genomes	SAMN02981336
Arabidopsis thaliana	3702	PRJNA13190	13190	Plants	Land Plants	93.6545	36.0433	GCA_000211275.1	6	-	-	-	6	16842	20111	2000/12/14	2007/05/19	Chromosome	Arabidopsis Genome Initiative	SAMN03081413
Solanum lycopersicum	4081	PRJNA41343	41343	Plants	Land Plants	540.589	-	GCA_000181095.1	-	-	-	BABP01	100783	-	-	2009/11/06	2015/09/25	Scaffold	Kazusa DNA Research Institute	SAMD00036540
Solanum lycopersicum	4081	PRJNA67471	67471	Plants	Land Plants	0.575198	43.5	GCA_000325825.1	-	1	-	AFYB01	195	-	-	2012/02/24	2014/08/11	Contig	Mitochondrial Genome	SAMN02981358
Hordeum vulgare subsp. vulgare	112509	PRJEB86	179052	Plants	Land Plants	1868.64	-	GCA_000326085.1	-	-	-	CAJW01	2670738	-	-	2012/10/29	2015/02/01	Scaffold	IPK-Gatersleben	SAMEA2272000
Hordeum vulgare subsp. vulgare	112509	PRJDA62403	62403	Plants	Land Plants	28.016	-	GCA_000227425.1	-	-	-	BACC01	-	-	-	2011/06/22	2015/09/16	Contig	Institute of Plant Science and Resources, Okayama University	SAMD00036549
Hordeum vulgare subsp. vulgare	112509	PRJEB88	179053	Plants	Land Plants	1779.49	-	GCA_000326125.1	-	-	-	CAJX01	2077901	-	-	2012/10/29	2015/02/01	Scaffold	IPK-Gatersleben	SAMEA2272683
Oryza sativa Japonica Group	39947	PRJNA13141	13141	Plants	Land Plants	382.778	42.6517	GCA_000005425.2	12	-	-	-	15	30294	28392	2005/02/02	2012/08/09	Chromosome	International Rice Genome Sequencing Project	-
Oryza sativa Indica Group	39946	PRJNA361	361	Plants	Land Plants	426.337	47.8	GCA_000004655.2	-	-	-	AAAA02	10627	-	-	2002/04/04	2014/08/06	Chromosome	Beijing Institute of Genomics, Chinese Academy of Sciences	SAMN02953581
Oryza sativa Japonica Group	39947	PRJNA13139	13139	Plants	Land Plants	391.148	44.0845	GCA_000149285.1	12	-	-	AACV01	7777	37032	35394	2004/10/21	2014/08/06	Chromosome	Beijing Genomics Institute	SAMN02953597
Oryza sativa Japonica Group	39947	PRJDA39809	39809	Plants	Land Plants	382.151	43.0871	GCA_000164945.1	12	-	-	BABO01	12	-	-	2010/04/01	2010/05/24	Chromosome	QTL Genomics Research Center, National Institute of Agrobiological Sciences	SAMD00009497
Oryza sativa Japonica Group	39947	PRJDA67163	67163	Plants	Land Plants	382.627	43.3738	GCA_000321445.1	12	-	-	BACJ01	12	-	-	2011/12/27	2011/12/28	Chromosome	Iwate Biotechnology Research Center	SAMD00036555
Triticum aestivum	4565	PRJEA41525	41525	Plants	Land Plants	1.26608	44.8	GCA_000210335.1	1	-	-	-	1	45	21	2010/07/15	2015/02/27	Chromosome	International Wheat Genome Sequencing Consortium	SAMEA2272260
Triticum aestivum	4565	PRJNA61773	61773	Plants	Land Plants	159.087	-	GCA_000188135.1	-	-	-	AEOM01	-	-	-	2011/02/04	2014/08/11	Contig	International Wheat Genome Sequencing Consortium	SAMN02981295
Triticum aestivum	4565	PRJEB217	171500	Plants	Land Plants	3800.33	-	GCA_000334095.1	-	-	-	CALP01	-	-	-	2012/12/23	2015/02/01	Contig	MIPS/HMGU	SAMEA2272365
Triticum aestivum	4565	PRJEB217	171500	Plants	Land Plants	437.106	-	GCA_000334135.1	-	-	-	CALO01	-	-	-	2013/01/09	2015/01/30	Contig	MIPS/HMGU	SAMEA2272598
Zea mays	4577	PRJNA249074	249074	Plants	Land Plants	2067.62	46.8286	GCA_000005005.5	20	2	-	-	523	104305	116015	2010/01/29	2014/08/02	Chromosome	NCBI	-
Zea mays	4577	PRJNA51041	51041	Plants	Land Plants	177.051	-	GCA_000223545.1	-	-	-	AECO01	196697	-	-	2011/08/16	2014/08/11	Scaffold	Laboratorio Nacional de Genómica para la Biodiversidad (LANGEBIO) CINVESTAV Irapuato	SAMN02981271
Zea mays	4577	PRJNA249074	249074	Plants	Land Plants	1.33507	45.4	GCA_000275765.1	-	-	-	AHID01	1844	-	-	2012/07/03	2014/08/11	Contig	NCBI	SAMN02981394
Schizosaccharomyces pombe	4896	PRJNA13836	13836	Fungi	Ascomycetes	12.5913	36.0381	GCA_000002945.2	3	1	-	-	4	6991	5133	2002/02/28	2015/02/27	Chromosome	S. pombe European Sequencing Consortium (EUPOM)	SAMEA3138176
Saccharomyces cerevisiae S288c	559292	PRJNA43747	43747	Fungi	Ascomycetes	12.1571	38.1556	GCA_000146045.2	16	1	-	-	17	6350	5907	1999/11/08	2016/03/15	Complete Genome	Saccharomyces Genome Database	-
Saccharomyces cerevisiae Sigma1278b	658763	PRJNA39317	39317	Fungi	Ascomycetes	11.9459	38.3049	GCA_000151485.1	16	-	-	ACVY01	16	-	-	2010/04/29	2014/08/04	Chromosome	Broad Institute	SAMN00002885
