#Organism/Name	Kingdom	Group	SubGroup	Plasmid Name	RefSeq	INSDC	Size (Kb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
'Brassica napus' phytoplasma	Bacteria	Terrabacteria group	Tenericutes	pPABN1	NC_016583.1	HQ637382	3.529	23.9445	5	-	-	-	5	-
'Nostoc azollae' 0708	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pAzo01	NC_014249.1	CP002060	109.57	35.6786	46	-	-	-	93	47
'Nostoc azollae' 0708	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pAzo02	NC_014250.1	CP002061	21.875	33.5406	8	-	-	-	9	1
'Rehmannia glutinosa' phytoplasma	Bacteria	Terrabacteria group	Tenericutes	pPARG1	NC_014123.1	FJ905104	4.371	24.5482	7	-	-	-	7	-
[Bacillus thuringiensis] serovar konkukian str. 97-27	Bacteria	Terrabacteria group	Firmicutes	pBT9727	NC_006578.1	CP000047	77.112	32.6408	80	-	-	-	80	-
[Clostridium] acidurici 9a	Bacteria	Terrabacteria group	Firmicutes	pCuri3	NC_018657.1	CP003327	2.913	28.8019	3	-	-	-	3	-
[Clostridium] sordellii JGS6382	Bacteria	Terrabacteria group	Firmicutes	pCS1	-	LN681235.1	106.013	25.3356	94	-	-	-	94	-
[Clostridium] sordellii ATCC9714	Bacteria	Terrabacteria group	Firmicutes	pCS1	-	LN679999.1	103.77	25.0342	88	-	-	-	89	1
[Clostridium] sordellii ATCC9714	Bacteria	Terrabacteria group	Firmicutes	pCS2	-	LN680000.1	37.131	26.0456	52	-	-	-	52	-
[Eubacterium] eligens ATCC 27750	Bacteria	Terrabacteria group	Firmicutes	unnamed	NC_012780.1	CP001106	626.744	36.7801	595	-	-	-	610	15
[Eubacterium] eligens ATCC 27750	Bacteria	Terrabacteria group	Firmicutes	unnamed	NC_012782.1	CP001105	60.455	40.751	84	-	-	-	86	2
[Haemophilus] ducreyi ATCC 27722	Bacteria	Proteobacteria	Gammaproteobacteria	pNAD1	NC_005329.1	AY434675	5.568	34.0697	8	-	-	-	10	2
[Haemophilus] parasuis HS016	Bacteria	Proteobacteria	Gammaproteobacteria	pTetHS016	NC_022367.1	KC818265	3.366	36.7796	2	-	-	-	2	-
[Haemophilus] parasuis YC0093	Bacteria	Proteobacteria	Gammaproteobacteria	pYC93	NC_019214.1	HM486907	4.237	48.0765	5	-	-	-	5	-
[Haemophilus] parasuis HN7061	Bacteria	Proteobacteria	Gammaproteobacteria	pHN61	NC_012661.1	FJ947048	6.32	36.1392	5	-	-	-	5	-
[Haemophilus] parasuis	Bacteria	Proteobacteria	Gammaproteobacteria	pHS-Rec	NC_006829.1	AY862436	9.462	32.7838	7	-	-	-	7	-
[Haemophilus] parasuis QY431	Bacteria	Proteobacteria	Gammaproteobacteria	pQY431	NC_021186.1	KC405065	7.777	33.882	6	-	-	-	6	-
[Haemophilus] parasuis HS1543	Bacteria	Proteobacteria	Gammaproteobacteria	pHS-Tet	NC_006828.1	AY862435	5.147	41.3445	4	-	-	-	4	-
[Haemophilus] parasuis FS39	Bacteria	Proteobacteria	Gammaproteobacteria	pFS39	NC_021185.1	KC405064	7.577	35.555	6	-	-	-	6	-
[Haemophilus] parasuis FZ0751	Bacteria	Proteobacteria	Gammaproteobacteria	pFZ51	NC_019361.1	JN202624	15.672	41.3859	16	-	-	-	16	-
[Pasteurella] aerogenes	Bacteria	Proteobacteria	Gammaproteobacteria	pB1002	NC_020885.1	JQ773456	5.668	41.4432	4	-	-	-	4	-
[Pasteurella] aerogenes	Bacteria	Proteobacteria	Gammaproteobacteria	pB1000	NC_020886.1	JQ773457	4.613	41.4914	4	-	-	-	4	-
[Pasteurella] aerogenes	Bacteria	Proteobacteria	Gammaproteobacteria	pCCK343	NC_019255.1	FR687372	5.415	43.8042	5	-	-	-	5	-
[Pasteurella] aerogenes BB1084	Bacteria	Proteobacteria	Gammaproteobacteria	pIG1	NC_019979.1	JQ319769	5.36	47.5	5	-	-	-	5	-
[Pseudomonas syringae] pv. tomato str. DC3000	Bacteria	Proteobacteria	Gammaproteobacteria	pDC3000B	NC_004632.1	AE016854	67.473	56.1662	70	-	-	-	77	-
[Pseudomonas syringae] pv. tomato str. DC3000	Bacteria	Proteobacteria	Gammaproteobacteria	pDC3000A	NC_004633.1	AE016855	73.661	55.1459	68	-	-	-	73	-
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB4	NC_009929.1	CP000841	226.68	45.877	205	-	-	-	219	14
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB5	NC_009930.1	CP000842	177.162	44.6755	168	-	-	-	171	3
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB1	NC_009926.1	CP000838	374.161	47.3483	292	-	-	-	313	21
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB8	NC_009933.1	CP000845	120.693	45.4185	100	-	-	-	102	2
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB2	NC_009927.1	CP000839	356.087	45.3367	312	-	-	-	331	19
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB9	NC_009934.1	CP000846	2.133	42.5223	1	-	-	-	2	1
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB6	NC_009931.1	CP000843	172.728	47.1267	141	-	-	-	157	16
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB7	NC_009932.1	CP000844	155.11	45.5909	124	-	-	-	129	5
Acaryochloris marina MBIC11017	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	pREB3	NC_009928.1	CP000840	273.121	45.1902	245	-	-	-	275	30
Acetobacter aceti	Bacteria	Proteobacteria	Alphaproteobacteria	pAC5	NC_001275.1	AF110140	5.123	55.8657	2	-	-	-	2	-
Acetobacter aceti CCM 3610	Bacteria	Proteobacteria	Alphaproteobacteria	pAG20	NC_022074.1	KC871566	2.953	56.3495	1	-	-	-	1	-
Acetobacter ghanensis LMG 23848T	Bacteria	Proteobacteria	Alphaproteobacteria	1P	NZ_LN609303.1	LN609303	161.207	55.7259	160	-	-	-	168	8
Acetobacter ghanensis LMG 23848T	Bacteria	Proteobacteria	Alphaproteobacteria	2P	NZ_LN609304.1	LN609304	17.845	53.5444	20	-	-	-	21	1
Acetobacter pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	pAP12875	NC_004991.1	U20550	1.44	57.4306	2	-	-	-	2	-
Acetobacter pasteurianus CCM 2374	Bacteria	Proteobacteria	Alphaproteobacteria	pAP2	NC_007293.1	AM055747	4.484	51.1597	1	-	-	-	1	-
Acetobacter pasteurianus AC2-58	Bacteria	Proteobacteria	Alphaproteobacteria	pAC258-26	NC_019327.1	JQ418524	20.898	51.8853	32	-	-	-	32	-
Acetobacter pasteurianus CCM 3610	Bacteria	Proteobacteria	Alphaproteobacteria	pGR7	NC_010177.2	AM922326	2.446	29.5585	3	-	-	-	3	-
Acetobacter pasteurianus AC2-58	Bacteria	Proteobacteria	Alphaproteobacteria	pAC258-29	NC_019337.1	JQ418523	30.498	50.7115	42	-	-	-	42	-
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	Apa386Bp2	NZ_HF677572.1	HF677572	18.169	55.5672	25	-	-	-	25	-
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	Apa386Bp6	NC_021978.1	HF677576	6.548	51.7868	8	-	-	-	9	1
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	Apa386Bp3	NC_021992.1	HF677573	15.601	55.4708	14	-	-	-	16	2
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	Apa386Bp5	NC_021993.1	HF677575	9.914	50.7464	9	-	-	-	11	2
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	Apa386Bp4	NC_021977.1	HF677574	11.105	52.2828	12	-	-	-	14	2
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	Apa386Bp7	NC_021979.1	HF677577	3.851	47.0267	2	-	-	-	2	-
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	Apa386Bp1	NC_021976.1	HF677571	194.78	52.0094	183	-	-	-	196	13
Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA01-050	NC_013214.1	AP011126	3.035	55.7825	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA01-040	NC_013213.1	AP011125	3.204	53.7453	4	-	-	-	4	-
Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA01-030	NC_013212.1	AP011124	49.961	53.882	58	-	-	-	59	1
Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA01-011	NC_013210.1	AP011122	191.799	53.3621	170	-	-	-	183	13
Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA01-020	NC_013211.1	AP011123	182.94	53.4968	162	-	-	-	173	11
Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA01-060	NC_013215.1	AP011127	1.815	58.5675	1	-	-	-	1	-
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA42C_050	NC_017107.1	AP011168	3.035	55.7825	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA42C_011	NC_017104.1	AP011164	191.799	53.3621	171	-	-	-	183	12
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA42C_040	NC_017106.1	AP011167	3.204	53.7453	4	-	-	-	4	-
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA42C_020	NC_017105.1	AP011165	182.94	53.4968	163	-	-	-	173	10
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA42C_060	NC_017152.1	AP011169	1.815	58.5675	1	-	-	-	1	-
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA42C_030	NC_017151.1	AP011166	49.961	53.882	58	-	-	-	59	1
