#Species/genus	Genomes	Organism name	Chromosome RefSeq	Chromosome GenBank	Plasmid RefSeq	Plasmid GenBank	CODE	Comment	PubmedIDs	External link
Agrobacterium fabrum	1	Agrobacterium fabrum str. C58	NC_003062,NC_003063	AE007869,AE007870	NC_003064 ... (2)	AE007871 ... (2)	FGS/UPR	Agrobacterium tumefaciens C58 is widely used in genetic transformation of plants. This strain has a reference proteome in UniProtKB database.	11743193,11743194	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:2
Amycolatopsis mediterranei	4	Amycolatopsis mediterranei U32	NC_014318	CP002000			FGS/MOD	This is the first Amycolatopsis mediterranei genome. Amycolatopsis mediterranei U32 is widely used in the idustrial production of rifamycin.	20567260	
Aquifex aeolicus	1	Aquifex aeolicus VF5	NC_000918	AE000657	NC_001880	AE000667	UPR	This strain has a reference proteome in UniProtKB database.	9537320	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:2
Bacillus anthracis	38	Bacillus anthracis str. Ames	NC_003997	AE016879			FGS/MOD/UPR	This is the first genome of Bacillus anthracis. Bacillus anthracis is a pathogenic bacterium causing lethal inhalational anthrax. Key virulence genes are found on plasmids pXO1 and pXO2. The B. anthracis Ames Ancestor strain originally isolated from a dead cow in Texas in 1981 and is used as a &apos;gold standard&apos; for development of vaccines and testing their effectiveness in the United States. The reference laboratory sample (Porton isolate) has been derived from Ancestor and cured of plasmid pXO1 and pXO2. The Ames strain (Florida) became subject to intensive study after its use in 2001 anthrax letter attacks in Florida. B.anthracis is a highly monomorphic species with genes from different isolates having more than 99% nucleotide sequence identity. However different isolates show high phenotypic variation in infection potential.	12721629	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:3
Bacillus anthracis	38	Bacillus anthracis str. Sterne	NC_005945	AE017225			UPR	Bacillus anthracis is a pathogenic bacterium causing lethal inhalational anthrax. Key virulence genes are found on plasmids pXO1 and pXO2. The B. anthracis Ames Ancestor strain originally isolated from a dead cow in Texas in 1981 and is used as a &apos;gold standard&apos; for development of vaccines and testing their effectiveness in the United States. The reference laboratory sample (Porton isolate) has been derived from Ancestor and cured of plasmid pXO1 and pXO2. The Ames strain (Florida) became subject to intensive study after its use in 2001 anthrax letter attacks in Florida. B.anthracis is a highly monomorphic species with genes from different isolates having more than 99% nucleotide sequence identity. However different isolates show high phenotypic variation in infection potential.		http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:4
Bacillus cereus	146	Bacillus cereus ATCC 14579	NC_004722	AE016877	NC_004721	AE016878	TYS/MOD/UPR	This is the type strain of Bacillus cereus and was widely used in biological studies. This strain has a reference proteome in UniProtKB database.	12721630	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:5
Bacillus subtilis	37	Bacillus subtilis subsp. subtilis str. 168	NC_000964	AL009126			MOD/UPR	Bacillus subtilis subsp. subtilis str. 168 is widely used in the laboratory study and it has a reference proteome in UniProtKB database.	9384377,19383706,23429746	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:6
Bacillus thuringiensis	36	Bacillus thuringiensis serovar konkukian str. 97-27	NC_005957	AE017355	NC_006578	CP000047	CLI	B. thuringiensis 97-27 subsp. konkukian serotype H34 was isolated from a severe and necrotic war wound. It has a reference proteome in UniProtKB database.		
Bacteroides thetaiotaomicron	2	Bacteroides thetaiotaomicron VPI-5482	NC_004663	AE015928	NC_004703	AY171301	QfO/UPR	This strain has a reference proteome in UniProtKB database.	12663928,19321416	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:2
Bifidobacterium bifidum	8	Bifidobacterium bifidum PRL2010	NC_014638	CP001840			Reference genome		20974960	
Bifidobacterium longum	21	Bifidobacterium longum NCC2705	NC_004307	AE014295	NC_004943	AF540971	PHY/UPR	This strain has a reference proteome in UniProtKB database.	12381787	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:3
Bordetella pertussis	45	Bordetella pertussis Tohama I	NC_002929	BX470248			FGS/MOD/PRT/UPR	Bordetella pertussis Tohama I is a clinical isolate that was originally isolated from a patient with whooping cough. It has been widely used in biomedical research and has a reference proteome in UniProtKB database.	12910271	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:4
Borrelia burgdorferi	79	Borrelia burgdorferi B31	NC_001318	AE000783	NC_000948 ... (21)	AE000784 ... (21)	UPR	This strain has a reference proteome in UniProtKB database.	9403685	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:5
Bradyrhizobium diazoefficiens	1	Bradyrhizobium diazoefficiens USDA 110	NC_004463	BA000040			MOD/UPR	This strain has a reference proteome in UniProtKB database.	12597275,12597279	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:6
Buchnera aphidicola	18	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	NC_002528	BA000003	NC_002252 ... (2)	AP001070 ... (2)	MOD/UPR	This strain has a reference proteome in UniProtKB database.	10993077	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:7
Burkholderia pseudomallei	69	Burkholderia pseudomallei K96243	NC_006350,NC_006351	BX571965,BX571966			CLI/MOD/UPR	Burkholderia pseudomallei K96243 is a clinical isolate from Thailand and it has a reference proteome in UniProtKB database.	15377794	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:8
Campylobacter jejuni	94	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	NC_002163	AL111168			FGS/MOD/UPR	This is the first Campylobacter jejuni genome. Campylobacter jejuni subsp. jejuni NCTC 11168 has been a widely used to study C. jejuni pathogenesis.  It has a reference proteome in UniProtKB database.	10688204,17565669	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:9
Caulobacter vibrioides	3	Caulobacter crescentus CB15	NC_002696	AE005673			FGS/MOD/UPR	This strain has a reference proteome in UniProtKB database.	11259647,16829582	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Chlamydia trachomatis	80	Chlamydia trachomatis 434/Bu	NC_010287	AM884176			CLI	C. trachomatis serovar L2 strain 434/Bu was first isolated from the bubo of a patient with Lymphogranuloma venereum (LGV). It is much more invasive than strains of Trachoma serovars, and widely used in virulence and evolutionary studies of C. trachomatis.	18032721	http://stdgen.northwestern.edu/stdgen/bacteria/chlamy/
Chlamydia trachomatis	80	Chlamydia trachomatis D/UW-3/CX	NC_000117	AE001273			TYS/UPR	Chlamydia trachomatis D/UW-3/CX is the prototype strain of trachoma biovar, and is serologically related to common isolates from the genital tract. It has a reference proteome in UniProtKB database.	9784136	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Chlamydia pneumoniae	6	Chlamydophila pneumoniae CWL029	NC_000922	AE001363			CLI/MOD	Chlamydophila pneumoniae CWL029 is the most common strain endemic in the US and was widely used in biomedical research.	10192388	
Chlorobaculum tepidum	1	Chlorobium tepidum TLS	NC_002932	AE006470			FGS/UPR	This is the first genome sequence from the phylum Chlorobia. Chlorobium tepidum TLS has a reference proteome in UniProtKB database.	12093901	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Chloroflexus aurantiacus	1	Chloroflexus aurantiacus J-10-fl	NC_010175	CP000909			UPR	This strain has a reference proteome in UniProtKB database.		http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Clostridium acetobutylicum	3	Clostridium acetobutylicum ATCC 824	NC_003030	AE001437	NC_001988	AE001438	MOD/UPR	Clostridium acetobutylicum ATCC 824 has been widely used in bioengineering and  it has a reference proteome in UniProtKB database.	11466286	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Clostridium botulinum	36	Clostridium botulinum A str. Hall	NC_009698	CP000727			UPR	This strain has a reference proteome in UniProtKB database.	18060065	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
[Clostridium] difficile	246	Clostridium difficile 630	NC_009089	AM180355	NC_008226	AM180356	FGS/CLI	This is the first Clostridium difficile genome. Clostridium difficile 630 is a fully virulent, highly transmissible, multi-drug resistant strain. It was originally isolated from a patient with severe PMC that had spread to other patients. This strain has been extensively studied in the laboratories.	16804543,21349987,24568651	
