#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Kb)	GC%	Host	Segmemts	Genes	Proteins	Release Date	Modify Date	Status
Marine RNA virus SOG	439014	PRJNA20647	20647	ssRNA viruses	unclassified	4.449	51.7	environment	1	3	3	2007/07/15	2011/07/20	Complete
Marine RNA virus JP-A	439015	PRJNA20649	20649	ssRNA viruses	unclassified	9.236	41.3	environment	1	2	2	2007/07/15	2011/07/20	Complete
Marine RNA virus JP-B	439016	PRJNA20651	20651	ssRNA viruses	unclassified	8.926	37.6	environment	1	2	2	2007/07/15	2011/07/20	Complete
Subterranean clover stunt virus	36772	PRJNA14180	14180	ssDNA viruses	Nanoviridae	2.039	41.9504	plants	2	2	2	1994/11/27	2014/09/09	Chromosome(s)
Staphylococcus phage phiN315	225979	PRJNA14527	14527	dsDNA viruses, no RNA stage	Siphoviridae	44.082	32.8	bacteria	1	65	65	2003/04/22	2009/03/19	Chromosome(s)
Streptococcus pyogenes phage 315.2	198539	PRJNA14528	14528	dsDNA viruses, no RNA stage	Podoviridae	41.072	38.3	bacteria	1	61	60	2003/03/07	2009/05/28	Chromosome(s)
Streptococcus pyogenes phage 315.3	198540	PRJNA14529	14529	dsDNA viruses, no RNA stage	Podoviridae	34.419	38	bacteria	1	52	52	2003/03/07	2010/04/13	Chromosome(s)
Streptococcus pyogenes phage 315.4	198541	PRJNA14530	14530	dsDNA viruses, no RNA stage	Podoviridae	41.796	38.6	bacteria	1	64	64	2003/03/07	2009/05/28	Chromosome(s)
Streptococcus pyogenes phage 315.5	198542	PRJNA14531	14531	unclassified phages	unclassified	38.206	38.1	bacteria	1	55	55	2003/03/07	2009/05/28	Chromosome(s)
Streptococcus pyogenes phage 315.6	198543	PRJNA14532	14532	dsDNA viruses, no RNA stage	Podoviridae	40.014	39.7	bacteria	1	51	51	2003/03/07	2009/05/28	Chromosome(s)
Streptococcus pyogenes phage 315.1	198538	PRJNA14533	14533	dsDNA viruses, no RNA stage	Podoviridae	39.538	37.8	bacteria	1	56	56	2003/03/07	2015/02/10	Chromosome(s)
Bacillus phage phBC6A51	225725	PRJNA15021	15021	dsDNA viruses, no RNA stage	Podoviridae	61.395	37.7	bacteria	1	75	75	2003/06/05	2009/05/28	Chromosome(s)
Bacillus phage phBC6A52	225726	PRJNA15022	15022	dsDNA viruses, no RNA stage	Podoviridae	38.472	34.7	bacteria	1	49	49	2003/06/05	2009/05/28	Chromosome(s)
Salmonella phage Fels-1	128975	PRJNA29267	29267	unclassified phages	unclassified	42.723	51.6	bacteria	1	52	52	2008/03/03	2008/06/10	Complete
Phage Gifsy-1	129861	PRJNA32269	32269	unclassified phages	unclassified	48.491	51.1	bacteria	1	59	58	2008/03/03	2008/10/20	Complete
Phage Gifsy-2	129862	PRJNA32271	32271	unclassified phages	unclassified	45.84	51.1	bacteria	1	56	55	2008/03/03	2008/10/20	Complete
Salmonella phage Fels-2	194701	PRJNA32273	32273	dsDNA viruses, no RNA stage	Myoviridae	33.693	52.5	bacteria	1	48	47	2008/03/14	2009/04/17	Complete
Human herpesvirus 4	10376	PRJNA14413	14413	dsDNA viruses, no RNA stage	Herpesviridae	171.823	59.5	vertebrates, human	1	152	95	2002/10/09	2013/11/05	Complete
Murine hepatitis virus strain JHM	11144	PRJNA15138	15138	ssRNA viruses	Coronaviridae	31.526	42	vertebrates	1	10	11	2013/12/20	2015/07/24	Complete
Pigeon pea latent virus	1442012	PRJNA244664	244664	unclassified viruses	unclassified	6.246	43.5571	plants	4	4	4	2014/01/20	2015/10/20	Complete
uncultured phage crAssphage	1211417	PRJNA259336	259336	unclassified phages	unclassified	97.065	29.3	bacteria	1	80	80	2014/08/25	2015/12/10	Complete
Boiling Springs Lake RNA-DNA hybrid virus	1379788	PRJNA265891	265891	Other	Other	4.089	38.6	environment	1	3	3	2012/04/21	2014/10/31	Complete
Circoviridae 1 LDMD-2013	1379692	PRJNA268380	268380	ssDNA viruses	Circoviridae	4.023	46.7	vertebrates	1	4	4	2013/08/06	2014/11/25	Complete
Circoviridae LDMD-2013a	1576597	PRJNA268412	268412	ssDNA viruses	Circoviridae	2.603	41.8	vertebrates	1	3	3	2013/08/06	2014/11/25	Complete
Circoviridae 21 LDMD-2013	1379725	PRJNA268413	268413	ssDNA viruses	Circoviridae	2.296	43.7	vertebrates	1	3	3	2013/08/06	2014/11/25	Complete
Circoviridae 19 LDMD-2013	1379723	PRJNA268414	268414	ssDNA viruses	Circoviridae	1.064	47.8	vertebrates	1	1	1	2013/08/06	2014/11/25	Complete
Circoviridae 16 LDMD-2013	1379720	PRJNA268416	268416	ssDNA viruses	Circoviridae	2.262	50.4	vertebrates	1	4	4	2013/08/06	2014/11/25	Complete
Circoviridae 15 LDMD-2013	1379719	PRJNA268417	268417	ssDNA viruses	Circoviridae	2.676	48.1	vertebrates	1	3	3	2013/08/06	2014/11/25	Complete
Circoviridae 14 LDMD-2013	1379718	PRJNA268418	268418	ssDNA viruses	Circoviridae	3.161	40	vertebrates	1	3	3	2013/08/06	2014/11/25	Complete
Circoviridae 13 LDMD-2013	1379717	PRJNA268419	268419	ssDNA viruses	Circoviridae	2.658	42.7	vertebrates	1	2	2	2013/08/06	2014/11/25	Complete
Circoviridae 11 LDMD-2013	1379715	PRJNA268420	268420	ssDNA viruses	Circoviridae	2.917	48.5	vertebrates	1	5	5	2013/08/06	2014/11/25	Complete
Circoviridae 10 LDMD-2013	1379714	PRJNA268421	268421	ssDNA viruses	Circoviridae	3.333	48.9	vertebrates	1	3	3	2013/08/06	2014/11/25	Complete
Circoviridae 9 LDMD-2013	1379713	PRJNA268422	268422	ssDNA viruses	Circoviridae	3.175	45.4	vertebrates	1	3	3	2013/08/06	2014/11/25	Complete
Circoviridae 8 LDMD-2013	1379712	PRJNA268423	268423	ssDNA viruses	Circoviridae	3.999	42.5	vertebrates	1	5	5	2013/08/06	2014/11/25	Complete
Circoviridae 7 LDMD-2013	1379711	PRJNA268424	268424	ssDNA viruses	Circoviridae	4.715	46.9	vertebrates	1	5	5	2013/08/06	2014/11/25	Complete
Bacillariodnavirus LDMD-2013	1379694	PRJNA268425	268425	unassigned viruses	unclassified	5.749	41.6	algae	1	4	4	2013/08/06	2014/11/25	Complete
Circoviridae 3 LDMD-2013	1379707	PRJNA268426	268426	ssDNA viruses	Circoviridae	2.389	49.2	vertebrates	1	2	2	2013/08/06	2014/11/25	Complete
Circoviridae 2 LDMD-2013	1379695	PRJNA268427	268427	ssDNA viruses	Circoviridae	3.584	47.3	vertebrates	1	2	2	2013/08/06	2014/11/25	Complete
Circoviridae 4 LDMD-2013	1379708	PRJNA268428	268428	ssDNA viruses	Circoviridae	3.393	59.4	vertebrates	1	3	3	2013/08/06	2014/11/25	Complete
Circoviridae 6 LDMD-2013	1379710	PRJNA268429	268429	ssDNA viruses	Circoviridae	2.711	53.8	vertebrates	1	3	3	2013/08/06	2014/11/25	Complete
Circoviridae LDMD-2013b	1576598	PRJNA268430	268430	ssDNA viruses	Circoviridae	2.834	45.8	vertebrates	1	2	2	2013/08/06	2014/11/25	Complete
Sewage-associated circular DNA molecule-1	1592211	PRJNA272394	272394	Satellites	unclassified	2.136	38.8684	environment	2	2	2	2015/01/07	2015/02/17	Complete
Acholeplasma phage L2	46014	PRJNA14066	14066	dsDNA viruses, no RNA stage	Plasmaviridae	11.965	32	bacteria	1	14	14	1993/06/11	2015/02/10	Complete Genome
Pseudoalteromonas phage PM2	10661	PRJNA14237	14237	dsDNA viruses, no RNA stage	Corticoviridae	10.079	42.2	bacteria	1	22	22	1999/07/13	2010/03/26	Complete Genome
Mushroom bacilliform virus	32625	PRJNA14676	14676	ssRNA viruses	Barnaviridae	4.009	46.3	fungi	1	4	4	1994/10/08	2013/02/06	Complete Genome
Borna disease virus	12455	PRJNA14675	14675	ssRNA viruses	Bornaviridae	8.91	50.1	vertebrates, human	1	6	6	1994/01/06	2016/02/05	Complete Genome
Hepatitis E virus	12461	PRJNA15435	15435	ssRNA viruses	Hepeviridae	7.176	57.9	vertebrates, human	1	3	3	1993/08/02	2015/02/10	Complete Genome
Heterosigma akashiwo RNA virus	324900	PRJNA15425	15425	ssRNA viruses	Marnaviridae	8.587	46.9	algae	1	1	1	2003/07/23	2008/07/16	Complete Genome
Botrytis virus F	129395	PRJNA14707	14707	ssRNA viruses	Gammaflexiviridae	6.827	53.4	fungi	1	2	2	2000/10/14	2009/11/30	Complete Genome
Ostreid herpesvirus 1	261939	PRJNA14552	14552	dsDNA viruses, no RNA stage	Malacoherpesviridae	207.439	38.7	invertebrates	1	127	127	2004/02/02	2013/08/29	Complete Genome
Endosymbiont phage APSE-1	67571	PRJNA14047	14047	dsDNA viruses, no RNA stage	Podoviridae	36.524	43.9	bacteria	1	54	54	1999/10/26	2015/02/10	Complete Genome
Halorubrum phage HF2	33771	PRJNA14147	14147	dsDNA viruses, no RNA stage	unclassified	77.67	55.8	archaea	1	119	114	2001/12/31	2009/11/23	Complete Genome
Halovirus HF1	222645	PRJNA14294	14294	dsDNA viruses, no RNA stage	unclassified	75.898	55.8	archaea	1	106	102	2003/06/30	2008/03/07	Complete Genome
Strawberry mottle virus	167161	PRJNA14740	14740	ssRNA viruses	Secoviridae	12.655	45.5772	plants	2	2	2	2002/01/08	2015/03/09	Complete Genome
Botrytis virus X	174142	PRJNA14947	14947	ssRNA viruses	Alphaflexiviridae	6.966	54.6	plants	1	5	5	2003/10/01	2009/12/01	Complete Genome
Chalara elegans RNA Virus 1	267285	PRJNA15126	15126	dsRNA viruses	Totiviridae	5.31	52.6	fungi	1	2	2	2004/03/23	2010/06/28	Complete Genome
Strawberry latent ringspot virus	28351	PRJNA15167	15167	ssRNA viruses	Secoviridae	11.338	45.5149	plants	2	2	2	2005/01/29	2015/10/20	Complete Genome
Human picobirnavirus	145856	PRJNA15248	15248	dsRNA viruses	Picobirnaviridae	4.27	46.0452	vertebrates, human	2	3	3	2005/05/07	2015/10/20	Complete Genome
Satsuma dwarf virus	47416	PRJNA15409	15409	ssRNA viruses	Secoviridae	12.138	47.2522	plants	2	2	2	1999/04/06	2015/02/10	Complete Genome
Chaetoceros salsugineum DNA virus	674980	PRJNA15497	15497	unassigned viruses	unclassified	6	46.3	algae	1	6	6	2005/07/08	2010/08/16	Complete Genome
Haloarcula hispanica virus SH1	326574	PRJNA15535	15535	Other	Sphaerolipoviridae	30.889	68.4	archaea	1	56	56	2005/07/05	2008/03/07	Complete Genome
Aurantiochytrium single-stranded RNA virus 01	674971	PRJNA16134	16134	ssRNA viruses	unclassified	9.035	49.7	algae	1	2	2	2005/10/29	2015/02/10	Complete Genome
Heterocapsa circularisquama RNA virus	331975	PRJNA16157	16157	ssRNA viruses	Alvernaviridae	4.375	55.1	algae	1	2	2	2005/10/27	2008/12/08	Complete Genome
Black raspberry necrosis virus	367301	PRJNA17093	17093	ssRNA viruses	Secoviridae	13.945	47.0302	plants	2	2	2	2006/05/25	2015/10/20	Complete Genome
Citrus leprosis virus C	347219	PRJNA17095	17095	ssRNA viruses	unclassified	13.731	41.7101	plants	2	6	6	2006/04/24	2015/10/20	Complete Genome
White bream virus	405554	PRJNA18013	18013	ssRNA viruses	Coronaviridae	26.66	43.3	vertebrates	1	5	5	2006/10/07	2007/05/09	Complete Genome
Tomato torrado virus	370833	PRJNA18831	18831	ssRNA viruses	Secoviridae	13.211	44.1182	plants	2	3	3	2006/12/31	2015/10/20	Complete Genome
Acidianus bottle-shaped virus	437444	PRJNA19605	19605	dsDNA viruses, no RNA stage	Ampullaviridae	23.814	34.6	archaea	1	57	57	2007/04/25	2008/03/07	Complete Genome
Pyrococcus abyssi virus 1	425386	PRJNA19929	19929	dsDNA viruses, no RNA stage	unclassified	18.098	47.2	archaea	1	25	25	2007/06/09	2008/03/07	Complete Genome
Gill-associated virus	96491	PRJNA28679	28679	ssRNA viruses	Roniviridae	26.253	46.2	invertebrates	1	-	5	2000/07/13	2010/03/11	Complete Genome
Ourmia melon virus	186786	PRJNA30737	30737	ssRNA viruses	unclassified	4.852	51.5204	plants	3	3	3	2008/07/05	2015/10/20	Complete Genome
Epirus cherry virus	544686	PRJNA30739	30739	ssRNA viruses	unclassified	4.757	53.0887	plants	3	3	3	2008/07/05	2015/10/20	Complete Genome
